Product Name,Price,Location,Shop Name,Rating,Sold,Image,Link
Sepatu Clarks Kulit Wanita Wedges 4 cm AH 9158 100% Kulit Asli,Rp339.500,Jakarta Utara,TopSeller8888,5.0,Terjual 7,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/11/96872b57-7169-479d-9e7d-fafe0cc3c6ae.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_ja6_1dopJfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUE6_nFbm-FQRo2PcB5QiUE6mFiy3hSUstirRzW9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pJRo_KDH_jFoZFh6_J79ZFiQBYsy3Njq3zxPcuwy3zpUsthoAUDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEo_JpbsnF6ArOo_ep6_nRoAKDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_7H78jOE_92o8jOE_92o8jOE_92o8jB2_JoGqMzUZMgsHBgtyfO6Q7BkQfBv1pe7_1zoo1Okz_V6qMra_32sHJN1Z3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_320H7OI_MxgQuB733Oo81NNHACqQu2W_VzS8VB119zoqMh0_1z6qjNEZ_-oucxtZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGgjO1qRP63IKdyjzGrfUpgAxMzRPdyjrNHfgU8I2jzpJdgjP6q1B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEZ9xHqMod_32-H1NEZ_-vuJVd_1zuq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJOk_9uouV1F_1zsH7NJ3_u6uV1a_Ozsq3gzv_7ibm-sQIupPcua9fBj9RyaUsthoprd6mFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_KFHmUDUsJNHA1ibmUh6AeOUiFiH_jF6mUDUsJdo_nibmUh6AefUiFiH_K76m-Pbm-FrMBsguYiq3ei6sjFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfoAJX6A1OHAK7HA1fHseaomFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmd7H_UpH_ya6_edHAepHsrhHR7?is_search=1&keywords=sepatu&pub_unit=0&page=1&pub_id=0&pub_domain=0&management_type=2&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftopseller8888%2Fsepatu-clarks-kulit-wanita-wedges-4-cm-ah-9158-100-kulit-asli-hitam-36%3FextParam%3Divf%253Dfalse%26src%3Dtopads&dv=desktop&src=search&ob=23
Blake Penny Loafers Black / Sepatu Formal / Sepatu Nappa Milano,Rp789.000,Kab. Tangerang,Nappa Milano,4.8,Terjual 250+,https://images.tokopedia.net/img/cache/200-square/product-1/2020/2/24/95949850/95949850_6092cd23-ca16-4e03-8376-f24dcf2f5996_850_850,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jFH_H7o_17bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUEHsjOHmFircYpq9z2Qfdi6sjDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1NbAJdHAnDH_K7oO7DUMNwyfVXgcBjy9zB9fVjraUEH_eabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6seR6mdp6_JNopepHpyhHsJObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1ONoAVozcrp_S2Vo1OkqpzoqBJh_M2Vq1hAZM2jZJ2Myp-3qcoW_MY-qMY2_1o-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z9BvucoR3_-cqu22H3Bg8jjp_VzZQu2W39zvzJgt_jHF81Y919PoHj7p_32g8JYIz3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JZMgoucPR_1xd6c-JzSoiHfedgjx6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_M2CP1YJqpz6zcWR_7zoHJOk192oqBB2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_OzzP1Nke9P6uJJa_uzsHjO1Z9B6e7tNUiFiyfhOrRzBrBY2gVYfHiUE6_npoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiH_KFHmUDUsJNHA1ibmUh6AeOUiFiH_jF6mUDUsJdo_nibmUh6AefUiFiH_K76m-Pbm-FrMBsguYiq3ei6sUNo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEosehbsrRHpKhHAKhoAHRo_KDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snXHpKdHAeO6AjaHs1hopKp6I7?management_type=1&pub_id=0&t=desktop&page=1&dv=desktop&src=search&pub_unit=0&keywords=sepatu&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fnappamilano%2Fblake-penny-loafers-black-sepatu-formal-sepatu-nappa-milano-44%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&pub_domain=0
"Sepatu Sport Kano Sneakers Kets Casual Wanita Perempuan Cewek Import - SW04 BLACK, 36",Rp120.000,Jakarta Barat,Nimaya,4.9,Terjual 40+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/20/4335957b-4761-436b-a166-ff7f57734750.jpg,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jpHpHRoAHfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJf6_JaHAHaoAjDUMoFyaUEos1Fbm-FQRo2PcB5QiUEH_nDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDhop1dbAJNHA1DH_jF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_eabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sedHZddHpKRHpnFo_JRosHFomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB61pea_S2oH7N1gpz6qBuN_jzS81OkyfBHe72kgJxGgMHauMxsQ1N5Z325q1O1e9u68BjO_32oP7NE3_uoqjOR_S2sq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBoqMDp_1P6qVBW39zgQ1ON_SjFHV2W3MOHucPd3uzzPJOkQcWozJNk_S2-HjO1qcx-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_uz0P7YU8AxizJ2M_uz0P7Ny8AxizJ2pysoj6cgIPRxizpjpgjxd8MzIH_xMz7N2Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92sHJhk_9BoqBBN_jz0P7NJZ9B6zVjhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_920H7hk1_Co8B1h_jzgP7OkqpovucWEZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sUFHAnObm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUh6AnFUiFiH_jFoZUDUsJdoA1ibmUh6_ndUiFiH_KOHmUDUsJdoAyibmUh6AedUB7DUSCaq3oB9f-2gmUEos1Fbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sypomdho_rfHAjRHAHdo_ydbm-hP3ua8uYag3hay3N09RosQR-BUstFbs1fopU7HAndoAUNoAHFo_VY?dv=desktop&src=search&pub_unit=0&management_type=1&ob=23&pub_id=0&page=1&t=desktop&keywords=sepatu&r=https%3A%2F%2Fwww.tokopedia.com%2Fnimaya-1%2Fsepatu-sport-kano-sneakers-kets-casual-wanita-perempuan-cewek-import-sw04-black-36%3FextParam%3Divf%253Dtrue%26src%3Dtopads&is_search=1&pub_domain=0
Sepatu Kodachi 8172 Hijau Army Olive Green / Sneakers Pria Wanita,Rp130.000,Jakarta Barat,Sepatu Kodachi Warrior,4.9,Terjual 100+,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2021/11/8/ecb1bb5f-3231-4073-925a-ebc934e17f3b.jpg,https://www.tokopedia.com/kodachiwarrior/sepatu-kodachi-8172-hijau-army-olive-green-sneakers-pria-wanita-37?extParam=ivf%3Dfalse%26src%3Dsearch
sepatu safety sporty sneaker terbaru,Rp149.900,Bandung,Fashion Bandung 987,4.9,Terjual 100+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/26/36b58da1-6c54-4de0-a0d4-cf8cdb38ecfb.jpg,https://www.tokopedia.com/fashion-bandung/sepatu-safety-sporty-sneaker-terbaru-navy-39?extParam=ivf%3Dfalse%26src%3Dsearch
Aerostreet 39-44 Massive Costa Hitam Gum - Sepatu Sneakers Casual,Rp149.900,Kab. Klaten,Aerostreet,4.9,Terjual 250+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/29/b267370e-e6e7-4c5c-b6c3-94ff3fc15a48.jpg,https://www.tokopedia.com/aerostreet/aerostreet-39-44-massive-costa-hitam-gum-sepatu-sneakers-casual-44?extParam=ivf%3Dtrue%26src%3Dsearch
Sepatu Ventela Original Pria Vantela PUBLIC / ETHNIC / BASIC,Rp230.000,Kab. Bandung,sepatulokalid,4.9,Terjual 2 rb+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/5/064d5bb2-5919-4b6b-bd34-b029638e4091.jpg,https://www.tokopedia.com/sepatulokalid/sepatu-ventela-original-pria-vantela-public-ethnic-basic-ethnic-low-42?extParam=ivf%3Dtrue%26src%3Dsearch
SEPATU NB NEW BALANCE 550 WHITE GREEN UNISEX - PREMIUM ORIGINAL,Rp649.000,Jakarta Selatan,Tabriiz Sneakers,4.8,Terjual 20,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/23/667fc2bf-7e36-4b9f-809b-66191c157bba.jpg,https://www.tokopedia.com/tabriiz-sneakers/sepatu-nb-new-balance-550-white-green-unisex-premium-original-37?extParam=ivf%3Dfalse%26src%3Dsearch
Aerostreet 36-45 Osaka Hitam Emas - Sepatu Sneakers Sport 21HH20,Rp155.900,Kab. Klaten,Aerostreet,4.8,Terjual 4 rb+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/24/82d46ea4-4fe0-4cd3-af5d-ec2e59e527ae.jpg,https://www.tokopedia.com/aerostreet/aerostreet-36-45-osaka-hitam-emas-sepatu-sneakers-sport-21hh20-41?extParam=cmp%3D1%26ivf%3Dtrue%26src%3Dsearch
Sepatu Sneakers Mills Sportage CL 9701001 Original BNIB,Rp254.150,Jakarta Timur,KING OF DRIBBLE,5.0,Terjual 16,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/28/dc127233-0f6c-4201-bdc5-9501ed562bab.jpg,https://www.tokopedia.com/kingofdribble/sepatu-sneakers-mills-sportage-cl-9701001-original-bnib-42-9d636?extParam=ivf%3Dfalse%26src%3Dsearch
Aerostreet 36-45 Hoops Low Gum White - Sepatu Sneakers Casual,Rp149.900,Kab. Klaten,Aerostreet,4.9,Terjual 2 rb+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/24/fe8228cd-b5be-4116-b60f-10287aa91cb5.jpg,https://www.tokopedia.com/aerostreet/aerostreet-36-45-hoops-low-gum-white-sepatu-sneakers-casual-38?extParam=ivf%3Dtrue%26src%3Dsearch
Aerostreet 36-45 Massive Low Hitam - Sepatu Sneakers Casual 21AA30,Rp139.900,Kab. Klaten,Aerostreet,4.9,Terjual 10 rb+,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/24/ec21ea0b-62af-45e0-a4c5-820e9e0c018b.jpg,https://www.tokopedia.com/aerostreet/aerostreet-36-45-massive-low-hitam-sepatu-sneakers-casual-21aa30-37?extParam=ivf%3Dtrue%26src%3Dsearch
